70,0,-25
60,0,-35
70,-10,-35
70,10,-35
80,0,-35
40,0,-35
30,0,-45
40,-10,-45
40,10,-45
40,20,-35
30,20,-45
40,30,-45
50,0,-35
50,-10,-45
50,10,-35
50,20,-35
50,30,-45
60,-10,-35
60,-20,-45
60,10,-35
60,20,-35
60,30,-35
60,40,-45
70,-20,-45
70,20,-35
70,30,-35
70,40,-45
80,-10,-45
80,0,-45
80,10,-45
80,20,-45
80,30,-45
20,0,-45
10,0,-55
20,-10,-55
20,10,-45
10,10,-55
20,20,-45
10,20,-55
20,30,-55
30,-10,-45
30,-20,-55
30,10,-45
30,30,-45
30,40,-55
40,-20,-55
40,40,-55
50,-20,-45
50,-30,-55
50,40,-45
50,50,-55
60,-30,-55
60,50,-55
70,-30,-55
70,50,-55
80,-30,-45
80,-40,-55
80,-20,-55
80,-10,-55
80,0,-55
80,10,-55
80,20,-55
80,30,-55
80,40,-55
80,50,-45
80,60,-55
90,-30,-55
90,50,-55
-10,0,-55
-20,0,-65
-10,-10,-65
-10,10,-55
-20,10,-65
-10,20,-55
-20,20,-65
-10,30,-65
0,0,-55
0,-10,-65
0,10,-55
0,20,-55
0,30,-65
10,-10,-55
10,-20,-65
10,30,-55
10,40,-65
20,-20,-55
20,-30,-65
20,40,-55
20,50,-65
30,-30,-65
30,50,-65
40,-30,-55
40,-40,-65
40,50,-65
50,-40,-65
50,60,-65
60,-40,-65
60,60,-65
70,-40,-55
70,-50,-65
70,60,-65
80,-50,-65
80,-20,-65
80,-10,-65
80,0,-65
80,10,-65
80,20,-65
80,30,-65
80,40,-65
80,70,-65
90,-40,-65
90,-30,-65
90,50,-65
90,60,-65
-40,0,-65
-50,0,-75
-40,-10,-75
-40,10,-75
-40,20,-65
-50,20,-75
-40,30,-75
-30,0,-65
-30,-10,-75
-30,10,-65
-30,20,-65
-30,30,-75
-20,-10,-65
-20,-20,-75
-20,30,-65
-20,40,-75
-10,-20,-65
-10,-30,-75
-10,40,-75
0,-20,-65
0,-30,-75
0,40,-65
0,50,-75
10,-30,-75
10,50,-75
20,-40,-75
20,60,-75
30,-40,-75
30,60,-75
40,-50,-75
40,60,-75
50,-50,-75
50,70,-75
60,-50,-75
60,70,-75
70,-50,-75
70,70,-75
80,-60,-75
80,-20,-75
80,-10,-75
80,0,-75
80,10,-75
80,20,-75
80,30,-75
80,40,-75
80,70,-75
90,-50,-65
90,-60,-75
90,-40,-75
90,-30,-75
90,50,-75
90,60,-75
90,70,-65
90,80,-75
100,-50,-75
100,70,-75
-60,0,-75
-70,0,-85
-60,-10,-85
-60,10,-75
-70,10,-85
-60,20,-75
-70,20,-85
-60,30,-85
-50,-10,-75
-50,-20,-85
-50,10,-75
-50,30,-75
-50,40,-85
-40,-20,-85
-40,40,-85
-30,-20,-75
-30,-30,-85
-30,40,-75
-30,50,-85
-20,-30,-85
-20,50,-85
-10,-40,-85
-10,50,-75
-10,60,-85
0,-40,-85
0,60,-85
10,-40,-75
10,-50,-85
10,60,-85
20,-50,-85
20,70,-85
30,-50,-85
30,70,-85
40,-50,-85
40,70,-85
50,-60,-85
50,80,-85
60,-60,-85
60,80,-85
70,-60,-85
70,80,-85
80,-60,-85
80,-20,-85
80,-10,-85
80,0,-85
80,10,-85
80,20,-85
80,30,-85
80,40,-85
80,80,-85
90,-60,-85
90,-40,-85
90,-30,-85
90,50,-85
90,60,-85
90,80,-85
100,-60,-75
100,-70,-85
100,-50,-85
100,70,-85
110,-60,-85
-110,0,-85
-120,0,-95
-110,-10,-95
-110,10,-95
-110,20,-85
-120,20,-95
-110,30,-95
-100,0,-85
-100,-10,-95
-100,10,-95
-100,20,-85
-100,30,-95
-90,0,-85
-90,-10,-95
-90,10,-95
-90,20,-85
-90,30,-95
-80,-10,-85
-80,-20,-95
-80,0,-85
-80,10,-85
-80,20,-85
-80,30,-85
-80,40,-95
-70,-10,-85
-70,-20,-95
-70,30,-85
-70,40,-95
-60,-20,-85
-60,-30,-95
-60,40,-85
-60,50,-95
-50,-30,-95
-50,50,-95
-40,-30,-85
-40,-40,-95
-40,50,-85
-40,60,-95
-30,-40,-95
-30,60,-95
-20,-40,-85
-20,-50,-95
-20,60,-95
-10,-50,-95
-10,70,-95
0,-50,-95
0,70,-95
10,-50,-95
10,70,-95
20,-60,-95
20,80,-95
30,-60,-95
30,80,-95
40,-60,-95
40,80,-95
50,-60,-95
50,80,-95
60,-70,-95
60,80,-95
70,-70,-95
70,90,-95
80,-70,-95
80,-30,-95
80,-20,-95
80,-10,-95
80,0,-95
80,10,-95
80,20,-95
80,30,-95
80,40,-95
80,50,-95
80,90,-95
90,-70,-95
90,-40,-95
90,60,-95
90,90,-95
100,-60,-95
100,-50,-95
100,70,-95
100,80,-95
-150,20,-95
-160,20,-105
-150,10,-105
-150,30,-105
-140,0,-95
-150,0,-105
-140,-10,-105
-140,10,-105
-140,20,-95
-140,30,-105
-130,-10,-95
-130,-20,-105
-130,0,-95
-130,10,-105
-130,20,-95
-130,30,-105
-120,-10,-95
-120,-20,-105
-120,10,-105
-120,30,-95
-120,40,-105
-110,-20,-105
-110,40,-105
-100,-20,-95
-100,-30,-105
-100,40,-95
-100,50,-105
-90,-20,-95
-90,-30,-105
-90,40,-95
-90,50,-105
-80,-30,-105
-80,50,-105
-70,-30,-95
-70,-40,-105
-70,50,-95
-70,60,-105
-60,-40,-105
-60,60,-105
-50,-40,-95
-50,-50,-105
-50,60,-105
-40,-50,-105
-40,70,-105
-30,-50,-105
-30,70,-105
-20,-60,-105
-20,70,-105
-10,-60,-105
-10,80,-105
0,-60,-105
0,80,-105
10,-60,-105
10,80,-105
20,-70,-105
20,80,-105
30,-70,-105
30,90,-105
40,-70,-105
40,90,-105
50,-70,-105
50,90,-105
60,-70,-105
60,90,-105
70,-70,-105
70,90,-105
80,-70,-105
80,-30,-105
80,-20,-105
80,-10,-105
80,0,-105
80,10,-105
80,20,-105
80,30,-105
80,40,-105
80,50,-105
80,90,-105
90,-70,-105
90,-50,-105
90,-40,-105
90,60,-105
90,90,-105
100,-60,-105
100,70,-105
100,80,-105
-170,-10,-105
-180,-10,-115
-170,-20,-115
-170,0,-115
-170,20,-105
-180,20,-115
-170,10,-115
-170,30,-105
-180,30,-115
-170,40,-115
-160,-10,-105
-160,-20,-115
-160,0,-105
-160,10,-115
-160,30,-105
-160,40,-115
-150,-10,-105
-150,-20,-115
-150,10,-115
-150,40,-115
-140,-20,-105
-140,-30,-115
-140,10,-115
-140,40,-105
-140,50,-115
-130,-30,-115
-130,40,-105
-130,50,-115
-120,-30,-115
-120,50,-115
-110,-30,-105
-110,-40,-115
-110,50,-105
-110,60,-115
-100,-40,-115
-100,60,-115
-90,-40,-115
-90,60,-115
-80,-40,-105
-80,-50,-115
-80,60,-105
-80,70,-115
-70,-50,-115
-70,70,-115
-60,-50,-115
-60,70,-115
-50,-50,-115
-50,70,-115
-40,-60,-115
-40,80,-115
-30,-60,-115
-30,80,-115
-20,-60,-115
-20,80,-115
-10,-70,-115
-10,90,-115
0,-70,-115
0,90,-115
10,-70,-115
10,90,-115
20,-70,-115
20,90,-115
30,-70,-115
30,90,-115
40,-70,-115
40,90,-115
50,-80,-115
50,90,-115
60,-80,-115
60,100,-115
70,-80,-115
70,100,-115
80,-70,-115
80,-30,-115
80,-20,-115
80,-10,-115
80,0,-115
80,10,-115
80,20,-115
80,30,-115
80,40,-115
80,50,-115
80,90,-115
90,-70,-115
