1,2,3
249,250,288
288,250,289
250,251,289
289,251,290
251,252,290
290,252,291
252,253,291
254,255,292
292,255,293
255,247,293
293,247,294
294,247,287
291,253,295
253,256,295
295,256,296
256,257,296
296,257,297
258,259,298
259,254,298
298,254,292
257,260,297
297,260,299
261,258,300
300,258,298
260,262,299
299,262,301
262,263,301
264,261,302
302,261,300
301,263,303
263,265,303
266,264,304
304,264,302
267,305,265
265,305,303
268,266,306
306,266,304
269,307,267
267,307,305
268,306,270
270,306,308
272,310,269
269,310,307
270,308,273
273,308,311
273,311,312
274,312,313
274,313,275
275,313,314
275,314,276
276,314,315
276,315,277
277,315,316
277,316,278
278,316,317
278,317,271
271,317,309
271,309,279
279,309,318
279,318,280
280,318,319
280,319,281
281,319,320
281,320,282
282,320,321
282,321,283
283,321,322
283,322,323
284,323,324
284,324,272
272,324,310
273,312,285
285,312,274
283,323,286
286,323,284
287,288,325
288,289,325
325,289,326
289,290,326
326,290,327
290,291,327
292,293,328
293,294,328
328,294,329
294,287,329
329,287,330
330,287,325
327,291,331
291,295,331
331,295,332
295,296,332
332,296,333
296,297,333
298,292,334
334,292,335
335,292,328
333,297,336
297,299,336
336,299,337
300,298,338
338,298,334
299,301,337
337,301,339
302,300,340
340,300,338
301,303,339
339,303,341
304,302,342
342,302,340
303,305,341
341,305,343
306,304,344
344,304,342
307,346,305
305,346,343
306,344,308
308,344,347
308,347,348
309,351,345
309,345,351
310,354,346
310,346,307
308,348,311
311,348,312
312,348,349
312,349,313
313,349,350
313,350,314
314,350,355
314,355,315
315,355,356
315,356,316
316,356,357
316,357,317
317,357,358
317,358,309
309,358,351
309,351,318
318,351,359
318,359,319
319,359,360
319,360,320
320,360,361
320,361,321
321,361,362
321,362,322
322,362,352
322,352,323
323,352,353
323,353,324
324,353,354
324,354,310
328,329,363
329,330,363
363,330,364
330,325,364
364,325,365
325,326,365
365,326,366
326,327,366
366,327,367
327,331,367
367,331,368
331,332,368
368,332,369
332,333,369
334,335,370
335,328,370
370,328,371
371,328,363
369,333,372
333,336,372
372,336,373
336,337,373
338,334,374
374,334,375
375,334,370
373,337,376
337,339,376
340,338,377
377,338,374
376,339,378
339,341,378
